200, 0, H, 10.613338708877563
200, 1, L, 23.875842571258545
200, 2, H, 28.70226240158081
200, 3, L, 28.773919105529785
200, 4, H, 43.74571347236633
200, 5, L, 29.35660433769226
200, 6, H, 22.74962878227234
200, 7, L, 55.4024178981781
200, 8, H, 50.36190843582153
200, 9, L, 38.289090633392334
2000, 0, H, 103.56454515457153
2000, 1, L, 246.08530163764954
2000, 2, H, 306.28475403785706
2000, 3, L, 319.7130084037781
2000, 4, H, 459.96787333488464
2000, 5, L, 298.93824219703674
2000, 6, H, 245.38992476463318
2000, 7, L, 575.3059475421906
2000, 8, H, 517.3664975166321
2000, 9, L, 388.1169180870056
