200, 0, H, 10.487327098846436
200, 1, L, 23.43886423110962
200, 2, H, 28.79343271255493
200, 3, L, 28.596462965011597
200, 4, H, 41.75514483451843
200, 5, L, 27.28096055984497
200, 6, H, 25.390769958496094
200, 7, L, 62.78984999656677
200, 8, H, 53.53865885734558
200, 9, L, 37.04559135437012
2000, 0, H, 116.20036602020264
2000, 1, L, 267.5395224094391
2000, 2, H, 296.80051469802856
2000, 3, L, 280.331666469574
2000, 4, H, 438.4138777256012
2000, 5, L, 287.0115158557892
2000, 6, H, 238.00571370124817
2000, 7, L, 557.6390912532806
2000, 8, H, 491.660441160202
2000, 9, L, 374.78289246559143
